H 6-31G*
S   3
  1          495.039990        0.00311875
  2          117.221190	       0.02421577
  3          37.5065580	       0.10595245
  4          13.9099680	       0.28272734
  5          5.50450150	       0.43869699
  6          2.24328120	       0.31473136
  7          0.77617992	       0.04594114
  8          0.29187047	      -0.00495720
  9          0.10286700	       0.00248469
 10          0.03600345	      -0.00067720
P 10
  1          495.039990       -0.00079990
  2          117.221190	      -0.00619790
  3          37.5065580	      -0.02802530
  4          13.9099680	      -0.07609970
  5          5.50450150	      -0.12768940
  6          2.24328120	      -0.07596880
  7          0.77617992	       0.28506713
  8          0.29187047	       0.55093959
  9          0.10286700	       0.30126947
 10          0.03600345	       0.04803268
P 10
  1          495.039990        0.00069018
  2          117.221190	       0.00560461
  3          37.5065580	       0.02403047
  4          13.9099680	       0.07093891
  5          5.50450150	       0.10278752
  6          2.24328120	       0.10454338
  7          0.77617992	      -0.46990450
  8          0.29187047	      -0.47193650
  9          0.10286700	       0.68464358
 10          0.03600345	       0.47330406
D 4
  1          1.25000000   0.19546573
  2          0.50400000   0.54795286
  3          0.20300000   0.38037365
  4          0.07105000   0.03863999

H ANO1
S   7
  1     82.63637400         0.00256413
  2     12.40955800         0.01921261
  3      2.82385400         0.09505118
  4      0.79767000         0.30186782
  5      0.25805300         0.48744592
  6      0.08989100         0.23547943
  7      0.03146200         0.01577776
S   7
  1     82.63637400        -0.00460080
  2     12.40955800        -0.03244470
  3      2.82385400        -0.17107370
  4      0.79767000        -0.50486720
  5      0.25805300        -0.09489200
  6      0.08989100         0.37085551
  7      0.03146200         0.65565134
P   3
  1      1.66250000         0.30127706
  2      0.41560000         0.68005742
  3      0.10390000         0.19856265

Ne cc-pvtz
S   8
  1  24350.0000000              0.0005020        
  2   3650.0000000              0.0038810        
  3    829.6000000              0.0199970        
  4    234.0000000              0.0784180        
  5     75.6100000              0.2296760        
  6     26.7300000              0.4327220        
  7      9.9270000              0.3506420        
  8      1.1020000             -0.0076450        
S   8
  1  24350.0000000             -0.0001180        
  2   3650.0000000             -0.0009150        
  3    829.6000000             -0.0047370        
  4    234.0000000             -0.0192330        
  5     75.6100000             -0.0603690        
  6     26.7300000             -0.1425080        
  7      9.9270000             -0.1777100        
  8      1.1020000              0.6058360        
S   1
  1      2.8360000              1.0000000        
S   1
  1      0.3782000              1.0000000        
P   3
  1     54.7000000              0.0171510        
  2     12.4300000              0.1076560        
  3      3.6790000              0.3216810        
P   1
  1      1.1430000              1.0000000        
P   1
  1      0.3300000              1.0000000        
D   1
  1      4.0140000              1.0000000        
D   1
  1      1.0960000              1.0000000        
F   1
  1      2.5440000              1.0000000        

N cc-pvtz
S   8
  1  11420.0000000              0.0005230        
  2   1712.0000000              0.0040450        
  3    389.3000000              0.0207750        
  4    110.0000000              0.0807270        
  5     35.5700000              0.2330740        
  6     12.5400000              0.4335010        
  7      4.6440000              0.3474720        
  8      0.5118000             -0.0085080        
S   8
  1  11420.0000000             -0.0001150        
  2   1712.0000000             -0.0008950        
  3    389.3000000             -0.0046240        
  4    110.0000000             -0.0185280        
  5     35.5700000             -0.0573390        
  6     12.5400000             -0.1320760        
  7      4.6440000             -0.1725100        
  8      0.5118000              0.5999440        
S   1
  1      1.2930000              1.0000000        
S   1
  1      0.1787000              1.0000000        
P   3
  1     26.6300000              0.0146700        
  2      5.9480000              0.0917640        
  3      1.7420000              0.2986830        
P   1
  1      0.5550000              1.0000000        
P   1
  1      0.1725000              1.0000000        
D   1
  1      1.6540000              1.0000000        
D   1
  1      0.4690000              1.0000000        
F   1
  1      1.0930000              1.0000000        

H cc-pvtz
S   3
  1     33.8700000              0.0060680        
  2      5.0950000              0.0453080        
  3      1.1590000              0.2028220        
S   1
  1      0.3258000              1.0000000        
S   1
  1      0.1027000              1.0000000        
P   1
  1      1.4070000              1.0000000        
P   1
  1      0.3880000              1.0000000        
D   1
  1      1.0570000              1.0000000        

C cc-pvtz
S   8
  1   8236.0000000              0.0005310        
  2   1235.0000000              0.0041080        
  3    280.8000000              0.0210870        
  4     79.2700000              0.0818530        
  5     25.5900000              0.2348170        
  6      8.9970000              0.4344010        
  7      3.3190000              0.3461290        
  8      0.3643000             -0.0089830        
S   8
  1   8236.0000000             -0.0001130        
  2   1235.0000000             -0.0008780        
  3    280.8000000             -0.0045400        
  4     79.2700000             -0.0181330        
  5     25.5900000             -0.0557600        
  6      8.9970000             -0.1268950        
  7      3.3190000             -0.1703520        
  8      0.3643000              0.5986840        
S   1
  1      0.9059000              1.0000000        
S   1
  1      0.1285000              1.0000000        
P   3
  1     18.7100000              0.0140310        
  2      4.1330000              0.0868660        
  3      1.2000000              0.2902160        
P   1
  1      0.3827000              1.0000000        
P   1
  1      0.1209000              1.0000000        
D   1
  1      1.0970000              1.0000000        
D   1
  1      0.3180000              1.0000000        
F   1
  1      0.7610000              1.0000000        

O cc-pvtz
S   8
  1  15330.0000000              0.0005080        
  2   2299.0000000              0.0039290        
  3    522.4000000              0.0202430        
  4    147.3000000              0.0791810        
  5     47.5500000              0.2306870        
  6     16.7600000              0.4331180        
  7      6.2070000              0.3502600        
  8      0.6882000             -0.0081540        
S   8
  1  15330.0000000             -0.0001150        
  2   2299.0000000             -0.0008950        
  3    522.4000000             -0.0046360        
  4    147.3000000             -0.0187240        
  5     47.5500000             -0.0584630        
  6     16.7600000             -0.1364630        
  7      6.2070000             -0.1757400        
  8      0.6882000              0.6034180        
S   1
  1      1.7520000              1.0000000        
S   1
  1      0.2384000              1.0000000        
P   3
  1     34.4600000              0.0159280        
  2      7.7490000              0.0997400        
  3      2.2800000              0.3104920        
P   1
  1      0.7156000              1.0000000        
P   1
  1      0.2140000              1.0000000        
D   1
  1      2.3140000              1.0000000        
D   1
  1      0.6450000              1.0000000        
F   1
  1      1.4280000              1.0000000        

S cc-pvtz
S   13
  1 374100.0000000              0.542140D-04     
  2  56050.0000000              0.420855D-03     
  3  12760.0000000              0.220698D-02     
  4   3615.0000000              0.919258D-02     
  5   1183.0000000              0.321123D-01     
  6    428.8000000              0.946683D-01     
  7    167.8000000              0.223630D+00     
  8     69.4700000              0.374393D+00     
  9     29.8400000              0.329108D+00     
 10     12.7200000              0.847038D-01     
 11      5.2440000              0.440851D-03     
 12      2.2190000              0.164827D-02     
 13      0.3490000              0.301306D-03     
S   13
  1 374100.0000000             -0.149837D-04     
  2  56050.0000000             -0.116198D-03     
  3  12760.0000000             -0.611583D-03     
  4   3615.0000000             -0.255370D-02     
  5   1183.0000000             -0.908708D-02     
  6    428.8000000             -0.277045D-01     
  7    167.8000000             -0.720020D-01     
  8     69.4700000             -0.146439D+00     
  9     29.8400000             -0.195150D+00     
 10     12.7200000              0.819193D-02     
 11      5.2440000              0.516601D+00     
 12      2.2190000              0.542178D+00     
 13      0.3490000             -0.918072D-02     
S   13
  1 374100.0000000              0.435066D-05     
  2  56050.0000000              0.337140D-04     
  3  12760.0000000              0.177674D-03     
  4   3615.0000000              0.741116D-03     
  5   1183.0000000              0.264591D-02     
  6    428.8000000              0.807487D-02     
  7    167.8000000              0.212276D-01     
  8     69.4700000              0.438323D-01     
  9     29.8400000              0.612716D-01     
 10     12.7200000             -0.361510D-02     
 11      5.2440000             -0.204510D+00     
 12      2.2190000             -0.381871D+00     
 13      0.3490000              0.714147D+00     
S   1
  1      0.7767000              1.0000000        
S   1
  1      0.1322000              1.0000000        
P   7
  1    574.4000000              0.242264D-02     
  2    135.8000000              0.192796D-01     
  3     43.1900000              0.885401D-01     
  4     15.8700000              0.254654D+00     
  5      6.2080000              0.433984D+00     
  6      2.4830000              0.354953D+00     
  7      0.3229000             -0.502977D-02     
P   7
  1    574.4000000             -0.620102D-03     
  2    135.8000000             -0.493882D-02     
  3     43.1900000             -0.232647D-01     
  4     15.8700000             -0.685195D-01     
  5      6.2080000             -0.123896D+00     
  6      2.4830000             -0.969499D-01     
  7      0.3229000              0.569394D+00     
P   1
  1      0.8688000              1.0000000        
P   1
  1      0.1098000              1.0000000        
D   1
  1      0.2690000              1.0000000        
D   1
  1      0.8190000              1.0000000        
F   1
  1      0.5570000              1.0000000      

H aug-cc-pvtz
S   3
  1     33.8700000              0.0060680        
  2      5.0950000              0.0453080        
  3      1.1590000              0.2028220        
S   1
  1      0.3258000              1.0000000        
S   1
  1      0.1027000              1.0000000        
S   1
  1      0.0252600              1.0000000        
P   1
  1      1.4070000              1.0000000        
P   1
  1      0.3880000              1.0000000        
P   1
  1      0.1020000              1.0000000        
D   1
  1      1.0570000              1.0000000        
D   1
  1      0.2470000              1.0000000        

C aug-cc-pvtz
S   8
  1   8236.0000000              0.0005310        
  2   1235.0000000              0.0041080        
  3    280.8000000              0.0210870        
  4     79.2700000              0.0818530        
  5     25.5900000              0.2348170        
  6      8.9970000              0.4344010        
  7      3.3190000              0.3461290        
  8      0.3643000             -0.0089830        
S   8
  1   8236.0000000             -0.0001130        
  2   1235.0000000             -0.0008780        
  3    280.8000000             -0.0045400        
  4     79.2700000             -0.0181330        
  5     25.5900000             -0.0557600        
  6      8.9970000             -0.1268950        
  7      3.3190000             -0.1703520        
  8      0.3643000              0.5986840        
S   1
  1      0.9059000              1.0000000        
S   1
  1      0.1285000              1.0000000        
S   1
  1      0.0440200              1.0000000        
P   3
